"Vormittag","aamupäivä | aamupäivän | aamupäivää | aamupäiviä"
"fleissig","ahkera | ahkeran | ahkeraa | ahkeria"
"anfangen | beginnen","alkaa | alan | aloin | alkanut [1]"
"Smartphone","älypuhelin | älypuhelimen | älypuhelinta | älypuhelimia"
"streng","ankara | ankaran | ankaraa | ankaria"
"Apotheke","apteekki | apteekin | aptekkia | apteekkeja"
"Hilfe","apu | avun | apua"
"Station","asema | aseman | asemaa | asemia"
"Grad","aste | asteen | astetta | asteita"
"Schlüssel","avain | avaimen | avainta | avaimia"
"Wirtschaftler | Ökonom","ekonomi | ekonomin | ekonomia | ekonomeja"
"Tier","eläin | eläimen | eläintä | eläimiä"
"Film","elokuva | elokuvan | elokuvaa | elokuvia"
"England | englisch","englanti | englannin | englantia | englanteja"
"Beispiel","esimerkki | esimierkin | esimerkkiä | esimerkkejä"
"vorstellen [jmd.]","esitellä | esittelen | esittelin | esitellyt [3]"
"Physik","fysiikka | fysiikan | fysiikkaa"
"aufwachen","herätä | herään | heräisin | herännyt [4]"
"langlaufen","hiihtää | hiihdän | hiihdin | hiihtänyt [1]"
"dünn | schlank","hoikka | hoikan | hoikkaa | hoikkia"
"Regal","hylly | hyllyn | hyllyä | hyllyjä"
"glücklich | fröhlich | froh","iloinen | iloisen | iloista | iloisia"
"Nachmittag","iltapäivä | iltapäivän | iltapäivää | iltapäiviä"
"Ingenieur","insinööri | insinöörin | insinööriä | insinöörejä"
"weinen","itkeä | itken | itkin | itkenyt [1]"
"Eis","jää | jään | jäätä | jäitä"
"Eishockey","jääkiekko | jääkiekon | jääkiekkoa | jääkiekkoja"
"Fuß","jalka | jalan | jalkaa | jalkoja"
"Fußball","jalkapallo | jalkapallon | jalkapalloa | jalkapalloja"
"Durst","jano | janon | janoa"
"Käse","juusto | juuston | juustoa | juustoja"
"Kasten","kaappi | kaapin | kaappia | kaappeja"
"Landkarte | Karte","kartta | kartan | karttaa | karttoja"
"Pflanze","kasvi | kasvin | kasvia | kasveja"
"Kochtopf | Topf","kattila | kattilan | kattilaa | kattiloita"
"Markthalle","kauppahalli | kauppahallin | kauppahallia | kauppahalleja"
"Einkaufszentrum","kauppakeskus | kauppakeskuksen | kauppakeskusta | kauppakeskuksia"
"Rathaus","kaupungintalo | kaupungintalon | kaupungintaloa | kaupungintaloja"
"danken","kiittää | kiitän | kiitin | kiittänyt [1, + Part]"
"Schinken","kinkku | kinkun | kinkkua | kinkkuja"
"Brief","kirje | kirjeen | kirjettä | kirjeitä"
"Hund","koira | koiran | koiraa | koiria"
"Münze","kolikko | kolikon | kolikkoa | kolikkoja"
"arm","köyhä | köyhän | köyhää | köyhiä"
"Blume","kukka | kukan | kukkaa | kukkia"
"Schüssel","kulho | kulhon | kulhoa | kulhoja"
"Tasse","kuppi | kupin | kuppia | kuppeja"
"Kurs","kurssi | kurssin | kurssia | kursseja"
"Bild","kuva | kuvan | kuvaa | kuvia"
"faul","laiska | laiskan | laiskaa | laiskoja"
"Temperatur","lämpotila | lämpotilan | lämpotilaa | lämpotiloja"
"singen","laulaa | laulan | lauloin | laulanut [1]"
"Teller","lautanen | lautasen | lautasta | lautasia"
"Zeitung","lehti | lehden | lehteä | lehtiä"
"backen","leipoa | leivon | leivoin | leiponut [1]"
"Kommode","lipasto | lipaston | lipastoa | lipastoja"
"lesen","lukea | luen | luin | lukenut [1]"
"Zahl","luku | luvun | lukua | lukuja"
"malen","maalata | maalaan | maalasin | maalannut [4]"
"Mathematik","matematiikka | metematiikan | matematiikkaa"
"Strecke | Weg | Reise","matka | matkan | matkaa | matkoja"
"reisen","matkustaa | matkustan | matkustin | matkustanut [1]"
"Teppich","matto | maton | mattoa | mattoja"
"Wald","metsä | metsän | metsää | metsiä"
"Ferienhaus","mökki | mökin | mökkiä | mökkejä"
"Becher","muki | mukin | mukia | mukeja"
"Plastik | Kunststoff","muovi | muovin | mouvia | muoveja"
"Museum","museo | museon | museota | museoita"
"Musik","musiikki | musiikin | musiikkia"
"Sturm","myrsky | myrskyn | myrkyä | myrskyjä"
"Verkäufer","myyjä | myyjän | myyjää | myyjiä"
"Hunger","nälkä | nälän | nälkää"
"lachen","nauraa | nauran | nauroin | nauranut [1]"
"Programmierer","ohjelmoija | ohjelmoijan | ohjelmojaa | ohjelmoijia"
"Rechtswissenschaft","oikeustiede | oikeustieteen | oikeustiedettä | oikeustieteitä"
"Fremdenführer","opas | oppaan | opasta | oppaita"
"Lehrer","opettaja | opettajan | opettajaa | opettajia"
"Shoppincenter","ostoskeskus | ostoskeskuksen | ostoskeskusta | ostoskeskuksia"
"Hauptstadt","pääkaupunki | pääkaupungin | pääkaupunkia | pääkaupunkeja"
"Bank | Sitzbank","penkki | penkin | penkkiä | penkkejä"
"Wolke","pilvi | pilven | pilveä | pilviä"
"Polizist | Polizei","poliisi | poliisin | poliisia | poliiseja"
"Post","posti | postin | postia | posteja"
"Tisch","pöytä | pöydän | pöytää | pöytiä"
"Professor","professori | professorin | professoria | professoreja"
"Telephon","puhelin | puhelimen | puhelinta | puhelimia"
"Baum | Holz","puu | puun | puuta | puita"
"Geld","raha | rahan | rahaa | rahoja"
"französisch | Frankreich","ranska | ranskan | ranskaa"
"reich","rikas | rikkaan | rikasta | rikaita"
"Krankenpfleger","sairaanhoitaja | sairaanhoitajan | sairaanhoitajaa | sairaanhoitajat"
