"Frühstück","aamiainen | aamiaisen | aamiaista | aamiaisia"
"Morgen","aamu | aamun | aamua | aamuja"
"morgens | in der Früh","aamulla"
"vormittags | am Vormittag","aamupäivällä"
"an | am","ääressä | äärestä | ääreen [Gen + ~]"
"ziemlich | sehr","aika"
"Zeit","aika | ajan | aikaa | aikoja"
"während","aikana [Gen. + ~]"
"immer","aina"
"Mutter","äiti | äidin | äitiä | äitejä"
"denken [an]","ajatella | ajattelen | ajattelin | ajatellut [3]"
"unter","alla | alta | alle [Gen. + ~]"
"Beruf","ammatti | ammatin | ammattia | ammetteja"
"geben","antaa | annan | annoin | antanut [1]"
"entschuldige","anteeksi"
"wie bitte","anteeksi mitä"
"Apotheke","apteekki | apteekin | aptekkia | apteekkeja"
"Station","asema | aseman | asemaa | asemia"
"Sache | Angelegenheit","asia | asian | asiaa | asioita"
"wohnen","asua | asun | asuin | asunut [1]"
"Wohnung","asunto | asunnon | asuntoa | asuntoja"
"Sonne","aurinko | auringon | aurinkoa | aurinkoja"
"die Sonne scheint","aurinko paistaa"
"sonnig","aurinkoinen | aurinkoisen | aurinkoista | aurinkoisia"
"Auto","auto | auton | autoa | autoja"
"helfen","auttaa | autan | autoin | auttanut [1, ~ + Part]"
"Ehemann","aviomies | aviomiehen | aviomiestä | aviomiehiä"
"Bar","baari | baarin | baaria | baareja"
"Bus","bussi | bussin | bussia | busseja"
"vor | vorn [Adv]","edessä | edestä | eteen [Gen + ~]"
"günstig","edullinen | edullisen | edullista | edullisia"
"vielleicht","ehkä"
"keine Ursache | macht nichts","ei kestä"
"nie","ei koskaan"
"niemand","ei kukaan"
"August","elokuu | elokuun | elokuuta | elokutia"
"England | englisch","englanti | englannin | englantia | englanteja"
"Onkel [mütterlicherseits]","eno | enon | enoa | enoja"
"erster","ensimmäinen | ensimmäisen | ensimmäista | ensimmäisiä"
"zuerst","ensin"
"und [Satzanfang, Frage]","entä"
"und selbst?","entä itsellesi"
"unfreundlich","epäystävällinen | epäystävällisen | epäystävällistä | epäystävällisiä"
"verschieden","eri"
"geschieden","eronnut | eronneen | eronnutta | eronneita"
"zum Beispiel","esimerkiksi"
"dass | damit","että"
"Vorname","etunimi | etuniminen | etunimeä | etunimiä"
"Euro","euro | euron | euroa | euroja"
"Gramm","gramma | gramman | grammaa | grammoja"
"Gabel","haarukka | haarukan | haarukkaa | haarukoita"
"holen | abholen","hakea | haen | hain | hakenut [1]"
"billig","halpa | halvan | halpaa | halpoja"
"wollen","haluta | haluan | halusin | halunnut"
"grau","harmaa | harmaan | harmaata | harmait"
"als Hobby haben","harrastaa | harrastan | harrastin | harrastanut [1, ~ + Part]"
"Hobby","harrastus | harrastuksen | harrastusta | harrastuksia"
"selten [Adv]","harvoin"
"nett dich kennenzulernen","hauska tutustua"
"verlieren | verloren gehen","hävitä | häviän | hävisin | hävinnyt [4]"
"Hallo","hei | terve"
"Juli","heinäkuu | heinäkuun | heinäkuuta | heinäkuita"
"Februar","helmikuu | helmikuun | helmikuuta | helmikuita"
"sofort","heti"
"Hotel","hotelli | hotellin | hotellia | hotelleja"
"Hose","housut | housujen | housuja [Pl]"
"April","huhtikuu | huhtikuun | huhtikuuta | huhtikuita"
"merken","huomata | huomaan | huomasin | huomannut [4]"
"morgen [Adv]","huomenna"
"schlecht [Adv]","huonasti"
"Zimmer | Raum","huone | huoneen | huonetta | huoneita"
"schlecht","huono | huonon | huonoa | huonoja"
"gut","hyvä | hyvän | hyvää | hyviä"
"guten Morgen","hyvää huomenta"
"guten Abend","hyvää iltaa"
"guten Tag","hyvää päivää"
"ganz [Adv]","ihan"
"Mensch","ihminen | ihmisen | ihmistä | ihmisiä"
"Alter","ikä | iän | ikää | ikiä"
"abends | am Abend","illalla"
"Wetter | Luft","ilma | ilman | ilmaa | ilmoja"
"ohne","ilman [~ + Part]"
"Abend","ilta | illan | iltaa | iltoja"
"nachmittags | am Nachmittag","iltapäivällä"
"Abendessen","iltapala | iltapalan | iltapalaa | iltapaloja"
"Vater","isä | isän | isää | isiä"
"sitzen","istua | istun | istuin | istunut [1]"
"[sich] hinsetzen | setzen","istuutua | istuudun | istuuduin | istuutunut [1]"
"Österreich","Itävalta | Itävallan | Itävaltaa"
"selbst","itse | itsen | itseä"
"und","ja"
"eisig","jäinen | jäisen | jäistä | jäisiä"
"zu Fuß","jalan | jalkaisin"
"nach [zeitlich]","jälkeen [Gen + ~]"
"durstig","janoinen | janoisen | janoista | janoisia"
"schon","jo"
"irgendein","joku | jonkun | jotakuta"
"sogar","jopa"
"wenn | falls","jos"
"Weihnachten ","joulu | joulun | joulua | jouluja"
"Dezember","joulukuu | joulukuun | joulukuuta | joulukuita"
"Zug | Bahn","juna | junan | junaa | junaia"
"trinken","juoda | juon | join | juonut [2]"
"laufen","juosta | juoksen | juoksin | juossut"
"Kaffee","kahvi | kahvin | kahvia | kahveje"
"Kaffeehaus | Café","kahvila | kahvilan | kahvilaa | kahviloita"
"alles | alle","kaikki | kaiken | kaikkea | kaikkia"
"teuer","kallis | kalliin | kallista | kalliita"
"Handy","kännykkä | kännykän | kännykkää | kännykköitä"
"mit","kanssa [Gen + ~]"
"schmal","kapea | kapean | kapeaa | kapeita"
"ansehen | umschauen","katsella | katselen | katselin | katsellut [3]"
"Straße","katu | kadun | katua | katuja"
"schön","kaunis | kauniin | kaunista | kauniita"
"Geschäft","kauppa | kaupan | kauppaa | kauppoja"
"Markthalle","kauppahalli | kauppahallin | kauppahallia | kauppahalleja"
"Einkaufszentrum","kauppakeskus | kauppakeskuksen | kauppakeskusta | kauppakeskuksia"
"Rathaus","kaupungintalo | kaupungintalon | kaupungintaloa | kaupungintaloja"
"Stadt","kaupunki | kaupungin | kaupunkia | kaupunkeja"
"spazieren | spazierengehen","kävellä | kävelen | kävelin | kävellyt [3]"
"gehen | besuchen","käydä | käyn | kävin | käynyt [2]"
"einkaufen gehen","käydä kaupassa"
"Küche","keittiö | keittiön | keittiötä | keittiöitä"
"Uhr","kello | kellon | kelloa | kelloja"
"gelb","keltainen | keltaisen | keltaista | keltaisia"
"einmal","kerran"
